,day,day_range,total_count,weather,day_of_week,celebration,season,month,day_of_year,count_discretized
0,2015-12-10,1200,255,Sunny,5,False,Autumn,12,10,2.0
1,2015-11-24,0,3,Partly cloudy,3,False,Autumn,11,24,0.0
2,2015-10-19,1200,361,Sunny,2,False,Autumn,10,19,2.0
3,2015-10-02,600,218,Light rain shower,6,False,Autumn,10,2,2.0
4,2015-09-12,1200,76,Partly cloudy,7,False,Summer,9,12,1.0
5,2015-08-25,1200,84,Sunny,3,False,Summer,8,25,1.0
6,2015-07-28,0,13,Clear,3,False,Summer,7,28,0.0
7,2015-07-02,600,220,Clear,5,False,Summer,7,2,2.0
8,2015-05-02,0,16,Light drizzle,7,False,Spring,5,2,0.0
9,2015-04-02,1800,131,Sunny,5,False,Spring,4,2,1.0
10,2015-03-04,1800,128,Moderate rain,4,False,Winter,3,4,1.0
11,2015-02-02,1200,173,Sunny,2,False,Winter,2,2,2.0
12,2015-01-10,1200,97,Sunny,7,False,Winter,1,10,1.0
13,2015-12-29,0,4,Partly cloudy,3,False,Winter,12,29,0.0
14,2015-12-12,1200,83,Patchy rain possible,7,False,Autumn,12,12,1.0
15,2015-11-11,1200,326,Sunny,4,False,Autumn,11,11,2.0
16,2015-08-30,0,19,Clear,1,False,Summer,8,30,0.0
17,2015-03-11,0,14,Clear,4,False,Winter,3,11,0.0
18,2015-11-05,1800,128,Sunny,5,False,Autumn,11,5,1.0
19,2015-10-23,1200,290,Sunny,6,False,Autumn,10,23,2.0
20,2015-10-17,600,47,Overcast,7,False,Autumn,10,17,1.0
21,2015-07-23,600,207,Clear,5,False,Summer,7,23,2.0
22,2015-07-19,1800,70,Sunny,1,False,Summer,7,19,1.0
23,2015-06-12,0,21,Clear,6,False,Spring,6,12,0.0
24,2015-03-04,0,11,Clear,4,False,Winter,3,4,0.0
25,2015-09-18,0,15,Cloudy,6,False,Summer,9,18,0.0
26,2015-08-14,1800,17,Sunny,6,False,Summer,8,14,0.0
27,2015-06-12,1800,123,Partly cloudy,6,False,Spring,6,12,1.0
28,2015-06-02,1800,96,Sunny,3,True,Spring,6,2,1.0
29,2015-04-22,0,12,Clear,4,False,Spring,4,22,0.0
30,2015-01-17,1800,71,Light rain,7,False,Winter,1,17,1.0
31,2015-12-14,0,6,Partly cloudy,2,False,Autumn,12,14,0.0
32,2015-11-25,0,5,Cloudy,4,False,Autumn,11,25,0.0
33,2015-10-04,1200,60,Patchy rain possible,1,False,Autumn,10,4,1.0
34,2015-08-17,0,1,Clear,2,False,Summer,8,17,0.0
35,2015-05-15,1200,200,Light rain shower,6,False,Spring,5,15,2.0
36,2015-05-04,1800,174,Sunny,2,False,Spring,5,4,2.0
37,2015-02-23,600,310,Clear,2,False,Winter,2,23,2.0
38,2015-01-12,1800,121,Sunny,2,False,Winter,1,12,1.0
39,2015-12-21,1200,121,Overcast,2,False,Autumn,12,21,1.0
40,2015-11-21,1800,35,Patchy rain possible,7,False,Autumn,11,21,1.0
41,2015-11-17,1200,325,Sunny,3,False,Autumn,11,17,2.0
42,2015-09-01,1200,138,Sunny,3,False,Summer,9,1,1.0
43,2015-06-16,1800,101,Sunny,3,False,Spring,6,16,1.0
44,2015-06-07,1800,109,Sunny,1,False,Spring,6,7,1.0
45,2015-05-25,600,347,Clear,2,False,Spring,5,25,2.0
46,2015-05-04,600,372,Clear,2,False,Spring,5,4,2.0
47,2015-03-20,1200,350,Sunny,6,False,Winter,3,20,2.0
48,2015-03-04,1200,287,Light rain shower,4,False,Winter,3,4,2.0
49,2015-08-04,600,99,Clear,3,False,Summer,8,4,1.0
50,2015-03-01,0,25,Clear,1,False,Winter,3,1,0.0
51,2015-02-08,1200,51,Sunny,1,False,Winter,2,8,1.0
52,2015-02-07,600,58,Clear,7,False,Winter,2,7,1.0
53,2015-01-02,600,29,Clear,6,False,Winter,1,2,0.0
54,2015-12-30,600,55,Light drizzle,4,False,Winter,12,30,1.0
55,2015-12-03,1800,92,Sunny,5,False,Autumn,12,3,1.0
56,2015-09-14,0,12,Moderate or heavy rain shower,2,False,Summer,9,14,0.0
57,2015-06-02,0,12,Clear,3,True,Spring,6,2,0.0
58,2015-04-15,1800,163,Sunny,4,False,Spring,4,15,2.0
59,2015-02-16,1200,210,Light rain,2,False,Winter,2,16,2.0
60,2015-01-24,0,13,Partly cloudy,7,False,Winter,1,24,0.0
61,2015-01-05,1800,34,Sunny,2,False,Winter,1,5,0.0
62,2015-12-29,600,45,Partly cloudy,3,False,Winter,12,29,1.0
63,2015-10-28,600,232,Moderate or heavy rain with thunder,4,False,Autumn,10,28,2.0
64,2015-07-12,0,34,Clear,1,False,Summer,7,12,0.0
65,2015-06-01,0,10,Clear,2,False,Spring,6,1,0.0
66,2015-03-17,1200,344,Patchy light drizzle,3,False,Winter,3,17,2.0
67,2015-02-15,600,19,Light drizzle,1,False,Winter,2,15,0.0
68,2015-10-24,1200,81,Sunny,7,False,Autumn,10,24,1.0
69,2015-09-12,1800,86,Patchy rain possible,7,False,Summer,9,12,1.0
70,2015-08-08,1200,19,Sunny,7,False,Summer,8,8,0.0
71,2015-06-28,1200,73,Sunny,1,False,Summer,6,28,1.0
72,2015-03-17,600,282,Light rain,3,False,Winter,3,17,2.0
73,2015-01-22,1200,163,Partly cloudy,5,False,Winter,1,22,2.0
74,2015-12-19,0,14,Light rain shower,7,False,Autumn,12,19,0.0
75,2015-05-22,600,263,Moderate rain,6,False,Spring,5,22,2.0
76,2015-05-05,0,16,Partly cloudy,3,False,Spring,5,5,0.0
77,2015-03-19,0,6,Clear,5,False,Winter,3,19,0.0
78,2015-01-21,600,118,Light drizzle,4,False,Winter,1,21,1.0
79,2015-09-16,0,12,Patchy rain possible,4,False,Summer,9,16,0.0
80,2015-09-09,600,209,Clear,4,False,Summer,9,9,2.0
81,2015-07-11,600,67,Clear,7,False,Summer,7,11,1.0
82,2015-06-10,0,16,Clear,4,False,Spring,6,10,0.0
83,2015-05-12,600,358,Clear,3,False,Spring,5,12,2.0
84,2015-04-24,1200,284,Sunny,6,False,Spring,4,24,2.0
85,2015-12-15,1200,272,Cloudy,3,False,Autumn,12,15,2.0
86,2015-10-01,1200,233,Moderate rain,5,False,Autumn,10,1,2.0
87,2015-07-01,600,245,Clear,4,False,Summer,7,1,2.0
88,2015-06-06,1200,74,Sunny,7,False,Spring,6,6,1.0
89,2015-03-30,1200,345,Partly cloudy,2,False,Spring,3,30,2.0
90,2015-01-29,600,91,Cloudy,5,False,Winter,1,29,1.0
91,2015-08-12,0,7,Clear,4,False,Summer,8,12,0.0
92,2015-08-03,1800,54,Sunny,2,False,Summer,8,3,1.0
93,2015-06-08,1800,150,Sunny,2,False,Spring,6,8,2.0
94,2015-05-05,1200,371,Partly cloudy,3,False,Spring,5,5,2.0
95,2015-04-14,1200,339,Sunny,3,False,Spring,4,14,2.0
96,2015-01-19,1800,146,Cloudy,2,False,Winter,1,19,2.0
97,2015-01-07,1200,126,Sunny,4,False,Winter,1,7,1.0
98,2015-12-09,600,319,Clear,4,False,Autumn,12,9,2.0
99,2015-11-21,0,24,Partly cloudy,7,False,Autumn,11,21,0.0
100,2015-10-10,0,33,Cloudy,7,False,Autumn,10,10,0.0
101,2015-05-27,1800,154,Sunny,4,False,Spring,5,27,2.0
102,2015-01-21,0,3,Light drizzle,4,False,Winter,1,21,0.0
103,2015-01-16,0,6,Cloudy,6,False,Winter,1,16,0.0
104,2015-10-13,1200,288,Moderate or heavy rain shower,3,False,Autumn,10,13,2.0
105,2015-10-09,1800,103,Partly cloudy,6,False,Autumn,10,9,1.0
106,2015-07-31,0,10,Clear,6,False,Summer,7,31,0.0
107,2015-05-31,600,26,Clear,1,False,Spring,5,31,0.0
108,2015-03-24,1800,167,Patchy rain possible,3,False,Spring,3,24,2.0
109,2015-03-16,1200,248,Moderate rain,2,False,Winter,3,16,2.0
110,2015-01-29,1200,56,Light drizzle,5,False,Winter,1,29,1.0
111,2015-12-05,1800,67,Sunny,7,False,Autumn,12,5,1.0
112,2015-11-23,1200,233,Light drizzle,2,False,Autumn,11,23,2.0
113,2015-09-01,1800,110,Sunny,3,False,Summer,9,1,1.0
114,2015-08-24,1200,48,Patchy rain possible,2,False,Summer,8,24,1.0
115,2015-07-02,1800,181,Sunny,5,False,Summer,7,2,2.0
116,2015-06-08,600,300,Clear,2,False,Spring,6,8,2.0
117,2015-04-27,600,218,Light rain shower,2,False,Spring,4,27,2.0
118,2015-03-23,1800,170,Partly cloudy,2,False,Spring,3,23,2.0
119,2015-02-15,1200,75,Patchy rain possible,1,False,Winter,2,15,1.0
120,2015-10-11,1800,89,Sunny,1,False,Autumn,10,11,1.0
121,2015-09-13,1800,62,Moderate or heavy rain shower,1,False,Summer,9,13,1.0
122,2015-08-27,1200,81,Sunny,5,False,Summer,8,27,1.0
123,2015-06-21,1200,55,Sunny,1,False,Spring,6,21,1.0
124,2015-05-23,600,67,Patchy light drizzle,7,False,Spring,5,23,1.0
125,2015-04-29,600,352,Partly cloudy,4,False,Spring,4,29,2.0
126,2015-11-21,600,30,Patchy rain possible,7,False,Autumn,11,21,0.0
127,2015-10-14,600,270,Light rain shower,4,False,Autumn,10,14,2.0
128,2015-09-22,600,351,Clear,3,False,Autumn,9,22,2.0
129,2015-09-10,600,177,Clear,5,False,Summer,9,10,2.0
130,2015-08-27,0,8,Clear,5,False,Summer,8,27,0.0
131,2015-08-09,0,6,Clear,1,False,Summer,8,9,0.0
132,2015-05-29,1200,270,Sunny,6,False,Spring,5,29,2.0
133,2015-03-19,1200,352,Sunny,5,False,Winter,3,19,2.0
134,2015-02-05,1800,104,Light rain shower,5,False,Winter,2,5,1.0
135,2015-02-05,0,4,Moderate rain,5,False,Winter,2,5,0.0
136,2015-01-03,1800,15,Sunny,7,False,Winter,1,3,0.0
137,2015-12-08,1200,54,Partly cloudy,3,True,Autumn,12,8,1.0
138,2015-10-21,0,9,Clear,4,False,Autumn,10,21,0.0
139,2015-10-05,0,4,Partly cloudy,2,False,Autumn,10,5,0.0
140,2015-09-29,1800,164,Sunny,3,False,Autumn,9,29,2.0
141,2015-09-05,0,19,Partly cloudy,7,False,Summer,9,5,0.0
142,2015-08-21,0,6,Clear,6,False,Summer,8,21,0.0
143,2015-08-16,1800,25,Sunny,1,False,Summer,8,16,0.0
144,2015-07-31,600,138,Clear,6,False,Summer,7,31,1.0
145,2015-06-07,1200,54,Sunny,1,False,Spring,6,7,1.0
146,2015-05-10,1800,92,Sunny,1,True,Spring,5,10,1.0
147,2015-04-29,0,11,Patchy light drizzle,4,False,Spring,4,29,0.0
148,2015-02-22,600,19,Moderate or heavy rain with thunder,1,False,Winter,2,22,0.0
149,2015-02-22,0,9,Moderate or heavy rain with thunder,1,False,Winter,2,22,0.0
150,2015-12-20,600,22,Clear,1,False,Autumn,12,20,0.0
151,2015-05-21,600,323,Clear,5,False,Spring,5,21,2.0
152,2015-04-07,600,142,Clear,3,False,Spring,4,7,1.0
153,2015-04-05,1800,24,Sunny,1,True,Spring,4,5,0.0
154,2015-03-16,600,303,Light rain,2,False,Winter,3,16,2.0
155,2015-02-09,1200,189,Sunny,2,False,Winter,2,9,2.0
156,2015-01-14,1200,122,Patchy light drizzle,4,False,Winter,1,14,1.0
157,2015-12-16,1200,270,Partly cloudy,4,False,Autumn,12,16,2.0
158,2015-11-01,0,33,Clear,1,True,Autumn,11,1,0.0
159,2015-10-03,1800,82,Sunny,7,False,Autumn,10,3,1.0
160,2015-08-02,1200,26,Sunny,1,False,Summer,8,2,0.0
161,2015-06-17,0,36,Clear,4,True,Spring,6,17,1.0
162,2015-12-02,1200,321,Sunny,4,False,Autumn,12,2,2.0
163,2015-11-19,1800,127,Partly cloudy,5,False,Autumn,11,19,1.0
164,2015-10-17,0,3,Light rain shower,7,False,Autumn,10,17,0.0
165,2015-09-13,1200,23,Moderate rain at times,1,False,Summer,9,13,0.0
166,2015-07-18,600,65,Clear,7,False,Summer,7,18,1.0
167,2015-07-14,1800,158,Sunny,3,False,Summer,7,14,2.0
168,2015-05-25,1200,276,Sunny,2,False,Spring,5,25,2.0
169,2015-03-24,1200,310,Light rain shower,3,False,Spring,3,24,2.0
170,2015-12-26,600,7,Partly cloudy,7,True,Winter,12,26,0.0
171,2015-08-15,1800,24,Patchy rain possible,7,True,Summer,8,15,0.0
172,2015-07-25,1800,73,Patchy rain possible,7,False,Summer,7,25,1.0
173,2015-03-19,600,374,Clear,5,False,Winter,3,19,2.0
174,2015-03-09,600,422,Clear,2,False,Winter,3,9,2.0
175,2015-09-30,600,364,Clear,4,False,Autumn,9,30,2.0
176,2015-09-11,1800,120,Sunny,6,False,Summer,9,11,1.0
177,2015-08-05,1200,58,Sunny,4,False,Summer,8,5,1.0
178,2015-06-12,1200,204,Sunny,6,False,Spring,6,12,2.0
179,2015-04-20,0,19,Partly cloudy,2,False,Spring,4,20,0.0
180,2015-04-13,0,11,Clear,2,False,Spring,4,13,0.0
181,2015-02-08,1800,62,Sunny,1,False,Winter,2,8,1.0
182,2015-01-28,600,171,Clear,4,False,Winter,1,28,2.0
183,2015-01-27,1800,128,Sunny,3,False,Winter,1,27,1.0
184,2015-11-25,1200,185,Patchy rain possible,4,False,Autumn,11,25,2.0
185,2015-11-08,1800,76,Sunny,1,False,Autumn,11,8,1.0
186,2015-07-19,1200,75,Sunny,1,False,Summer,7,19,1.0
187,2015-07-09,1800,153,Sunny,5,False,Summer,7,9,2.0
188,2015-05-25,1800,183,Sunny,2,False,Spring,5,25,2.0
189,2015-05-24,600,29,Partly cloudy,1,True,Spring,5,24,0.0
190,2015-04-26,600,25,Cloudy,1,False,Spring,4,26,0.0
191,2015-03-16,0,2,Patchy rain possible,2,False,Winter,3,16,0.0
192,2015-02-21,600,38,Cloudy,7,False,Winter,2,21,1.0
193,2015-10-26,1200,348,Partly cloudy,2,False,Autumn,10,26,2.0
194,2015-10-06,600,284,Light rain shower,3,False,Autumn,10,6,2.0
195,2015-06-27,600,60,Clear,7,False,Summer,6,27,1.0
196,2015-04-12,0,25,Clear,1,False,Spring,4,12,0.0
197,2015-03-19,1800,158,Sunny,5,False,Winter,3,19,2.0
198,2015-12-02,1800,101,Sunny,4,False,Autumn,12,2,1.0
199,2015-09-04,0,16,Partly cloudy,6,False,Summer,9,4,0.0
200,2015-08-16,0,5,Patchy rain possible,1,False,Summer,8,16,0.0
201,2015-07-29,0,9,Clear,4,False,Summer,7,29,0.0
202,2015-07-03,1800,106,Sunny,6,False,Summer,7,3,1.0
203,2015-06-05,0,26,Clear,6,False,Spring,6,5,0.0
204,2015-04-05,600,9,Partly cloudy,1,True,Spring,4,5,0.0
205,2015-03-24,600,428,Patchy rain possible,3,False,Spring,3,24,2.0
206,2015-11-20,1800,87,Partly cloudy,6,False,Autumn,11,20,1.0
207,2015-04-28,600,384,Patchy light rain,3,False,Spring,4,28,2.0
208,2015-01-26,0,5,Clear,2,False,Winter,1,26,0.0
209,2015-01-04,0,9,Partly cloudy,1,False,Winter,1,4,0.0
210,2015-11-13,0,13,Clear,6,False,Autumn,11,13,0.0
211,2015-10-04,0,28,Light rain shower,1,False,Autumn,10,4,0.0
212,2015-08-12,1800,28,Sunny,4,False,Summer,8,12,0.0
213,2015-08-09,1800,15,Sunny,1,False,Summer,8,9,0.0
214,2015-06-21,600,31,Clear,1,False,Spring,6,21,0.0
215,2015-05-18,1200,324,Sunny,2,False,Spring,5,18,2.0
216,2015-04-17,1200,251,Light rain shower,6,False,Spring,4,17,2.0
217,2015-03-23,1200,357,Sunny,2,False,Spring,3,23,2.0
218,2015-10-27,0,4,Clear,3,False,Autumn,10,27,0.0
219,2015-08-16,600,3,Clear,1,False,Summer,8,16,0.0
220,2015-08-03,600,100,Clear,2,False,Summer,8,3,1.0
221,2015-05-14,1800,198,Sunny,5,False,Spring,5,14,2.0
222,2015-03-25,0,12,Patchy rain possible,4,False,Spring,3,25,0.0
223,2015-03-21,1200,111,Partly cloudy,7,False,Winter,3,21,1.0
224,2015-03-20,1800,133,Sunny,6,False,Winter,3,20,1.0
225,2015-12-19,1200,69,Patchy rain possible,7,False,Autumn,12,19,1.0
226,2015-11-04,600,350,Patchy rain possible,4,False,Autumn,11,4,2.0
227,2015-08-13,600,52,Clear,5,False,Summer,8,13,1.0
228,2015-08-12,1200,44,Sunny,4,False,Summer,8,12,1.0
229,2015-07-24,1800,103,Sunny,6,False,Summer,7,24,1.0
230,2015-03-10,1800,205,Sunny,3,False,Winter,3,10,2.0
231,2015-01-14,0,9,Partly cloudy,4,False,Winter,1,14,0.0
232,2015-12-11,0,5,Clear,6,False,Autumn,12,11,0.0
233,2015-10-19,0,6,Patchy rain possible,2,False,Autumn,10,19,0.0
234,2015-08-26,600,84,Clear,4,False,Summer,8,26,1.0
235,2015-05-30,0,23,Clear,7,False,Spring,5,30,0.0
236,2015-04-23,0,10,Clear,5,False,Spring,4,23,0.0
237,2015-04-10,1800,129,Overcast,6,False,Spring,4,10,1.0
238,2015-02-07,0,8,Partly cloudy,7,False,Winter,2,7,0.0
239,2015-12-25,1800,6,Sunny,6,True,Winter,12,25,0.0
240,2015-12-07,0,9,Partly cloudy,2,False,Autumn,12,7,0.0
241,2015-11-12,600,376,Clear,5,False,Autumn,11,12,2.0
242,2015-09-15,1200,174,Sunny,3,False,Summer,9,15,2.0
243,2015-07-21,600,256,Clear,3,False,Summer,7,21,2.0
244,2015-03-01,600,23,Clear,1,False,Winter,3,1,0.0
245,2015-01-17,1200,93,Moderate rain,7,False,Winter,1,17,1.0
246,2015-01-12,600,258,Clear,2,False,Winter,1,12,2.0
247,2015-09-16,1800,119,Patchy rain possible,4,False,Summer,9,16,1.0
248,2015-08-04,1800,56,Partly cloudy,3,False,Summer,8,4,1.0
249,2015-07-16,1800,141,Sunny,5,False,Summer,7,16,1.0
250,2015-02-02,0,7,Clear,2,False,Winter,2,2,0.0
251,2015-11-12,1800,148,Sunny,5,False,Autumn,11,12,2.0
252,2015-07-11,1200,74,Sunny,7,False,Summer,7,11,1.0
253,2015-07-10,1800,135,Sunny,6,False,Summer,7,10,1.0
254,2015-06-22,600,240,Clear,2,False,Summer,6,22,2.0
255,2015-06-10,600,258,Clear,4,False,Spring,6,10,2.0
256,2015-04-13,1200,394,Sunny,2,False,Spring,4,13,2.0
257,2015-02-22,1200,46,Partly cloudy,1,False,Winter,2,22,1.0
258,2015-10-02,1200,157,Light rain,6,False,Autumn,10,2,2.0
259,2015-07-30,1200,124,Sunny,5,False,Summer,7,30,1.0
260,2015-06-30,600,256,Clear,3,False,Summer,6,30,2.0
261,2015-06-03,1800,156,Sunny,4,False,Spring,6,3,2.0
262,2015-05-18,1800,190,Sunny,2,False,Spring,5,18,2.0
263,2015-03-16,1800,46,Patchy light drizzle,2,False,Winter,3,16,1.0
264,2015-02-02,600,204,Clear,2,False,Winter,2,2,2.0
265,2015-02-01,0,24,Patchy rain possible,1,False,Winter,2,1,0.0
266,2015-10-25,600,23,Cloudy,1,False,Autumn,10,25,0.0
267,2015-08-06,0,8,Clear,5,False,Summer,8,6,0.0
268,2015-07-05,0,30,Clear,1,False,Summer,7,5,0.0
269,2015-06-19,0,21,Clear,6,False,Spring,6,19,0.0
270,2015-06-06,1800,93,Sunny,7,False,Spring,6,6,1.0
271,2015-05-23,1800,58,Patchy light drizzle,7,False,Spring,5,23,1.0
272,2015-05-01,0,22,Partly cloudy,6,True,Spring,5,1,0.0
273,2015-03-28,600,55,Clear,7,False,Spring,3,28,1.0
274,2015-02-14,600,49,Overcast,7,False,Winter,2,14,1.0
275,2015-01-31,0,12,Patchy rain possible,7,False,Winter,1,31,0.0
276,2015-12-17,1200,219,Sunny,5,False,Autumn,12,17,2.0
277,2015-11-09,0,7,Clear,2,False,Autumn,11,9,0.0
278,2015-10-31,1200,93,Sunny,7,False,Autumn,10,31,1.0
279,2015-10-19,1800,103,Sunny,2,False,Autumn,10,19,1.0
280,2015-08-12,600,61,Clear,4,False,Summer,8,12,1.0
281,2015-06-23,0,17,Patchy rain possible,3,False,Summer,6,23,0.0
282,2015-06-01,1800,132,Sunny,2,False,Spring,6,1,1.0
283,2015-04-04,600,32,Light rain shower,7,False,Spring,4,4,0.0
284,2015-12-01,1200,274,Sunny,3,False,Autumn,12,1,2.0
285,2015-10-15,600,321,Clear,5,False,Autumn,10,15,2.0
286,2015-08-15,0,8,Patchy rain possible,7,True,Summer,8,15,0.0
287,2015-04-14,600,387,Clear,3,False,Spring,4,14,2.0
288,2015-11-26,1800,118,Sunny,5,False,Autumn,11,26,1.0
289,2015-09-18,600,211,Cloudy,6,False,Summer,9,18,2.0
290,2015-08-03,0,9,Clear,2,False,Summer,8,3,0.0
291,2015-07-14,600,248,Clear,3,False,Summer,7,14,2.0
292,2015-07-07,600,235,Clear,3,False,Summer,7,7,2.0
293,2015-06-25,1800,194,Sunny,5,False,Summer,6,25,2.0
294,2015-05-24,1800,102,Sunny,1,True,Spring,5,24,1.0
295,2015-05-19,1200,330,Sunny,3,False,Spring,5,19,2.0
296,2015-04-18,1200,111,Patchy rain possible,7,False,Spring,4,18,1.0
297,2015-03-29,600,18,Clear,1,True,Spring,3,29,0.0
298,2015-03-02,600,228,Patchy rain possible,2,False,Winter,3,2,2.0
299,2015-02-09,1800,118,Sunny,2,False,Winter,2,9,1.0
300,2015-10-17,1200,66,Overcast,7,False,Autumn,10,17,1.0
301,2015-09-22,1800,143,Partly cloudy,3,False,Autumn,9,22,2.0
302,2015-05-09,1800,93,Sunny,7,False,Spring,5,9,1.0
303,2015-03-12,0,13,Clear,5,False,Winter,3,12,0.0
304,2015-08-23,1800,17,Partly cloudy,1,False,Summer,8,23,0.0
305,2015-07-01,1200,170,Sunny,4,False,Summer,7,1,2.0
306,2015-04-27,1200,206,Moderate or heavy rain shower,2,False,Spring,4,27,2.0
307,2015-04-20,1800,162,Sunny,2,False,Spring,4,20,2.0
308,2015-04-03,1200,150,Sunny,6,False,Spring,4,3,2.0
309,2015-03-31,600,346,Clear,3,False,Spring,3,31,2.0
310,2015-03-30,1800,158,Sunny,2,False,Spring,3,30,2.0
311,2015-12-15,600,285,Cloudy,3,False,Autumn,12,15,2.0
312,2015-11-16,1800,124,Sunny,2,False,Autumn,11,16,1.0
313,2015-09-21,1800,138,Sunny,2,False,Summer,9,21,1.0
314,2015-08-29,0,13,Clear,7,False,Summer,8,29,0.0
315,2015-07-06,1200,198,Sunny,2,False,Summer,7,6,2.0
316,2015-05-15,0,14,Patchy rain possible,6,False,Spring,5,15,0.0
317,2015-04-24,0,23,Partly cloudy,6,False,Spring,4,24,0.0
318,2015-04-03,600,100,Clear,6,False,Spring,4,3,1.0
319,2015-03-08,1200,98,Sunny,1,False,Winter,3,8,1.0
320,2015-01-27,600,195,Partly cloudy,3,False,Winter,1,27,2.0
321,2015-10-07,1200,352,Patchy rain possible,4,False,Autumn,10,7,2.0
322,2015-03-31,1200,316,Sunny,3,False,Spring,3,31,2.0
323,2015-02-27,0,9,Patchy light drizzle,6,False,Winter,2,27,0.0
324,2015-10-30,1200,262,Sunny,6,False,Autumn,10,30,2.0
325,2015-07-20,0,8,Clear,2,False,Summer,7,20,0.0
326,2015-06-11,1800,179,Sunny,5,False,Spring,6,11,2.0
327,2015-05-25,0,15,Clear,2,False,Spring,5,25,0.0
328,2015-04-27,0,12,Overcast,2,False,Spring,4,27,0.0
329,2015-03-04,600,335,Cloudy,4,False,Winter,3,4,2.0
330,2015-09-04,1800,98,Partly cloudy,6,False,Summer,9,4,1.0
331,2015-08-22,0,10,Clear,7,False,Summer,8,22,0.0
332,2015-08-17,1800,23,Sunny,2,False,Summer,8,17,0.0
333,2015-06-30,1200,217,Sunny,3,False,Summer,6,30,2.0
334,2015-11-29,600,14,Cloudy,1,False,Autumn,11,29,0.0
335,2015-11-26,0,5,Patchy rain possible,5,False,Autumn,11,26,0.0
336,2015-10-07,0,11,Patchy rain possible,4,False,Autumn,10,7,0.0
337,2015-09-24,1200,282,Partly cloudy,5,False,Autumn,9,24,2.0
338,2015-09-11,1200,181,Sunny,6,False,Summer,9,11,2.0
339,2015-08-20,1800,35,Sunny,5,False,Summer,8,20,1.0
340,2015-08-02,1800,38,Sunny,1,False,Summer,8,2,1.0
341,2015-04-15,1200,344,Sunny,4,False,Spring,4,15,2.0
342,2015-02-24,600,208,Light drizzle,3,False,Winter,2,24,2.0
343,2015-02-14,0,28,Partly cloudy,7,False,Winter,2,14,0.0
344,2015-02-08,0,20,Clear,1,False,Winter,2,8,0.0
345,2015-01-28,0,8,Clear,4,False,Winter,1,28,0.0
346,2015-12-15,1800,89,Cloudy,3,False,Autumn,12,15,1.0
347,2015-12-13,600,18,Light drizzle,1,False,Autumn,12,13,0.0
348,2015-12-12,600,66,Overcast,7,False,Autumn,12,12,1.0
349,2015-12-02,0,10,Clear,4,False,Autumn,12,2,0.0
350,2015-08-31,1200,99,Sunny,2,False,Summer,8,31,1.0
351,2015-07-17,600,207,Clear,6,False,Summer,7,17,2.0
352,2015-05-26,600,313,Clear,3,False,Spring,5,26,2.0
353,2015-04-03,0,18,Clear,6,False,Spring,4,3,0.0
354,2015-11-27,600,269,Partly cloudy,6,False,Autumn,11,27,2.0
355,2015-08-28,1200,80,Sunny,6,False,Summer,8,28,1.0
356,2015-08-16,1200,22,Sunny,1,False,Summer,8,16,0.0
357,2015-06-12,600,273,Clear,6,False,Spring,6,12,2.0
358,2015-05-06,0,18,Clear,4,False,Spring,5,6,0.0
359,2015-03-03,600,344,Clear,3,False,Winter,3,3,2.0
360,2015-12-31,1800,4,Sunny,5,True,Winter,12,31,0.0
361,2015-11-23,1800,113,Partly cloudy,2,False,Autumn,11,23,1.0
362,2015-11-19,600,367,Partly cloudy,5,False,Autumn,11,19,2.0
363,2015-10-09,1200,335,Sunny,6,False,Autumn,10,9,2.0
